identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
WoRMS:citation:100090	Citation	"Kirk, P. (2014). <i>Gaeumannomyces</i> Arx & D.L. Olivier, 1952. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100090"															
WoRMS:citation:100091	Citation	"Kirk, P. (2014). <i>Marisolaris</i> JÌürg. Koch & E.B.G. Jones, 1989. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100091"															
WoRMS:citation:100092	Citation	WoRMS (2014). <i>Mollisia</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100092															
WoRMS:citation:100093	Citation	"Kirk, P. (2014). <i>Orcadia</i> G.K. Sutherland, 1915. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100093"															
WoRMS:citation:100094	Citation	WoRMS (2014). <i>Peziza</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100094															
WoRMS:citation:100095	Citation	"Kirk, P. (2014). <i>Phomatospora</i> Sacc., 1875. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100095"															
WoRMS:citation:100096	Citation	WoRMS (2014). <i>Pseudoeurotium</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100096															
WoRMS:citation:100097	Citation	WoRMS (2014). <i>Pyrenopeziza</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100097															
WoRMS:citation:100098	Citation	WoRMS (2014). <i>Sphaeroides</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100098															
WoRMS:citation:100099	Citation	"Kirk, P. (2014). <i>Torpedospora</i> Meyers, 1957. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100099"															
WoRMS:citation:100100	Citation	"Kirk, P. (2014). <i>Tunicatispora</i> K.D. Hyde, 1990. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100100"															
WoRMS:citation:100101	Citation	"Kirk, P. (2014). <i>Dactylospora</i> KÌ¦rb., 1855. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100101"															
WoRMS:citation:100102	Citation	"Kirk, P. (2014). <i>Gnomonia</i> Cesati & de Notaris, 1863. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100102"															
WoRMS:citation:100103	Citation	WoRMS (2014). <i>Leiophloea</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100103															
WoRMS:citation:100105	Citation	"Kirk, P. (2014). <i>Didymella</i> Saccardo, 1880. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100105"															
WoRMS:citation:100106	Citation	"Kirk, P. (2014). Passeriniella. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100106"															
WoRMS:citation:100107	Citation	"Kirk, P. (2014). <i>Pontogeneia</i> Kohlm., 1975. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100107"															
WoRMS:citation:100108	Citation	"Kirk, P. (2014). Thalassoascus. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100108"															
WoRMS:citation:100109	Citation	"Kirk, P. (2014). <i>Capronia</i> Sacc., 1883. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100109"															
WoRMS:citation:100110	Citation	WoRMS (2014). <i>Leptoshpaeria</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100110															
WoRMS:citation:100111	Citation	"Kirk, P. (2014). <i>Leptosphaeria</i> Cesati & de Notaris, 1863. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100111"															
WoRMS:citation:100112	Citation	"Kirk, P. (2014). Ophiobolus. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100112"															
WoRMS:citation:100113	Citation	WoRMS (2014). <i>Lophiotrema</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100113															
WoRMS:citation:100114	Citation	"Kirk, P. (2014). <i>Massarina</i> Sacc., 1883. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100114"															
WoRMS:citation:100115	Citation	WoRMS (2014). <i>Microthyrium</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100115															
WoRMS:citation:100116	Citation	"Kirk, P. (2014). <i>Microthelia</i> KÌ¦rb., 1855. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100116"															
